Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-05-30,17:00:00,2411.25,2412.75,2408.5,2411.5,0,0
2017-05-30,18:00:00,2411.75,2412.75,2411,2411.75,0,0
2017-05-30,19:00:00,2411.75,2414.5,2411.5,2413.5,0,0
2017-05-30,20:00:00,2413.5,2414.25,2412.25,2412.75,0,0
2017-05-30,21:00:00,2412.5,2413.5,2411.75,2412.75,0,0
2017-05-30,22:00:00,2413,2414.25,2411.75,2412.25,0,0
2017-05-30,23:00:00,2412.25,2412.25,2410.25,2411.25,0,0
2017-05-31,01:00:00,2411.25,2411.75,2410.75,2411.5,0,0
2017-05-31,02:00:00,2411.62,2412,2410.75,2411,0,0
2017-05-31,03:00:00,2410.75,2411.75,2410,2411.25,0,0
2017-05-31,04:00:00,2411.5,2412.75,2411.25,2412,0,0
2017-05-31,05:00:00,2412.25,2412.5,2411.25,2412,0,0
2017-05-31,06:00:00,2411.75,2412,2411.25,2411.5,0,0
2017-05-31,07:00:00,2411.25,2412,2411.25,2411.5,0,0
2017-05-31,08:00:00,2411.75,2411.88,2411,2411,0,0
2017-05-31,09:00:00,2411.75,2412.75,2411.25,2412.5,0,0
2017-05-31,10:00:00,2412.5,2413.5,2411,2412.25,0,0
2017-05-31,11:00:00,2412.25,2412.75,2411,2411.25,0,0
2017-05-31,12:00:00,2411.75,2412,2410.5,2411.25,0,0
2017-05-31,13:00:00,2411,2413.75,2410.75,2413,0,0
2017-05-31,14:00:00,2413,2415.75,2413,2414.75,0,0
2017-05-31,15:00:00,2414.5,2416.75,2414.5,2415.25,0,0
2017-05-31,16:00:00,2416,2416.25,2405.88,2406,0,0
2017-05-31,17:00:00,2406.25,2410,2402.75,2410,0,0
2017-05-31,18:00:00,2410,2410,2404.5,2407,0,0
2017-05-31,19:00:00,2407,2409,2405.75,2406.25,0,0
2017-05-31,20:00:00,2406.25,2409.5,2405.5,2406.25,0,0
2017-05-31,21:00:00,2406.25,2408.75,2403.75,2407,0,0
2017-05-31,22:00:00,2406.75,2411.5,2406.5,2411.5,0,0
2017-05-31,23:00:00,2411.5,2415,2410.75,2414,0,0
2017-06-01,01:00:00,2413.25,2414.25,2412.25,2412.75,0,0
2017-06-01,02:00:00,2412.5,2413.5,2412.25,2412.25,0,0
2017-06-01,03:00:00,2412,2414,2412,2413.5,0,0
2017-06-01,04:00:00,2413.5,2414.5,2411.5,2411.5,0,0
2017-06-01,05:00:00,2411.25,2413,2410.5,2412.75,0,0
2017-06-01,06:00:00,2413.25,2413.5,2412.5,2412.75,0,0
2017-06-01,07:00:00,2412.5,2413.5,2412,2413.25,0,0
2017-06-01,08:00:00,2413,2413,2412,2412.25,0,0
2017-06-01,09:00:00,2412.5,2413.25,2412,2412.25,0,0
